tier,kontinent, nahrung, klasse, lebensdauer(jahre), sozialverhalten,
antilope, afrika, pflanzen, säugetier, 15, herdentier,
chamäleon, afrika, fleisch, reptil, 7, einzelgänger,
elephant, afrika, pflanzen, säugetier, 70, herdentier,
giraffe, afrika, pflanzen, säugetier, 25, herdentier,
gorilla, afrika, pflanzen, säugetier, 40, rudeltier,
krokodil, afrika, fleisch, reptil, 70, einzelgänger,
löwe, afrika, fleisch, säugetier, 15, rudeltier,
nilpferd, afrika, pflanzen, säugetier, 40, einzelgänger,
zebra, afrika, pflanzen, säugetier, 20, herdentier,
blauer pfau, asien, pflanzen, vogel, 15, einzalgänger,
komodowaran, asien, fleisch, reptil, 30, einzelgänger,
leopard, asien, fleisch, säugetier, 17, einzelgänger,
orang-utan, asien, pflanzen, säugetier, 40, einzelgänger,
panda, asien, pflanzen, säugetier, 20, einzelgänger,
tiger, asien, fleisch, säugetier, 13, einzelgänger,
emu, australien, pflanzen, vogel, 15, einzelgänger,
koala, australien, pflanzen, säugetier, 15, einzelgänger,
känguru, australien, pflanzen, säugetier, 20, herdentier,
schnabeltier, australien, fleisch, säugetier, 15, einzelgänger,
dachs, europa, allesfresser, säugetier, 10, rudeltier,
eurasischer luchs, europa, fleisch, säugetier, 15, einzelgänger,
feuersalamander, europa, fleisch, amphibie, 25, einzelgänger,
reh, europa, pflanzen, säugetier, 10, herdentier,
rote eichhörnchen, europa, pflanzen, säugetier, 3, einzelgänger,
rotfuchs, europa, allesfresser, säugetier, 7, rudeltier,
alligator, nordamerika, fleisch, reptil, 50, einzelgänger,
bison, nordamerika, pflanzen, säugetier, 20, herdentier,
grizzlybär, nordamerika, allesfresser, säugetier, 25, einzelgänger,
puma, nordamerika, fleisch, säugetier, 15, einzelgänger,
schnappschildkröte, nordamerika, fleisch, reptil, 100, einzelgänger,
weißkopfseeadler, nordamerika, fleisch, vogel, 25, einzelgänger,
eisbär, polar, fleisch, säugetier, 25, einzelgänger,
kaiserpinguin, polar, fleisch, vogel, 20, herdentier,
orca, polar, fleisch, säugetier, 80, rudeltier,
ringelrobbe, polar, fleisch, säugetier, 25, rudeltier,
schneeeule, polar, fleisch, vogel, 15, einzelgänger,
walross, polar, fleisch, säugetier, 40, rudeltier,
alpaka, südamerika, pflanzen, säugetier, 20, herdentier,
anakonda, südamerika, fleisch, reptil, 30, einzelgänger,
capybara, südamerika, pflanzen, säugetier, 10, herdentier,
gürteltier, südamerika, allesfresser, säugetier, 15, einzelgänger,
jaguar, südamerika, fleisch, säugetier, 15, einzelgänger,
pfeilgiftfrosch, südamerika, fleisch, amphibie, 5, einzelgänger,
tapir, südamerika, pflanzen, säugetier, 30, einzelgänger,
